feature,mean_abs_shap,model
s__Bacteroides_xylanisolvens,0.056388916996640094,CatBoost
s__Anaerotruncus_rubiinfantis,0.05606125453047041,CatBoost
s__TM7_phylum_sp_oral_taxon_352,0.05532585181775367,CatBoost
s__Anaeromassilibacillus_senegalensis,0.055071444119545884,CatBoost
s__Ruminococcus_bromii,0.05431377327535711,CatBoost
s__Bacteroides_eggerthii,0.053081484155595306,CatBoost
s__Alistipes_sp_AF17_16,0.05106899167999183,CatBoost
s__Romboutsia_timonensis,0.04984809220704499,CatBoost
s__Phocaeicola_massiliensis,0.04972219065848123,CatBoost
s__GGB9708_SGB15234,0.04656654095861388,CatBoost
s__Lachnospiraceae_bacterium_AM48_27BH,0.04646990827809199,CatBoost
s__GGB9747_SGB15356,0.04615833498266441,CatBoost
s__GGB33469_SGB15236,0.045669218333878776,CatBoost
s__GGB9627_SGB15081,0.043724427940381554,CatBoost
s__Eisenbergiella_tayi,0.043569126461081326,CatBoost
s__Roseburia_hominis,0.04269381811245293,CatBoost
s__Faecalibacterium_sp_HTFF,0.042379475656922516,CatBoost
s__Ruminococcus_callidus,0.04224921832511626,CatBoost
s__Hungatella_hathewayi,0.04189899915152198,CatBoost
s__Coprococcus_comes,0.04164425860554134,CatBoost
s__Alistipes_onderdonkii,0.04073717726665754,CatBoost
s__GGB9699_SGB15216,0.04066170325368097,CatBoost
s__Mediterraneibacter_butyricigenes,0.040539540769402235,CatBoost
s__Segatella_copri,0.04018539707138672,CatBoost
s__GGB51647_SGB4348,0.04010312187430385,CatBoost
s__Bifidobacterium_adolescentis,0.03951898738120731,CatBoost
s__Fusicatenibacter_saccharivorans,0.039439451716784465,CatBoost
s__Evtepia_gabavorous,0.03909081121020656,CatBoost
s__Bacteroides_fragilis,0.03668873178249518,CatBoost
s__Phocaeicola_dorei,0.03645884652282255,CatBoost
s__Faecalibacterium_prausnitzii,0.03579333371261242,CatBoost
s__GGB3619_SGB4894,0.035537086566748186,CatBoost
s__GGB9635_SGB15106,0.035510383890825,CatBoost
s__GGB2998_SGB3988,0.0348806332404229,CatBoost
s__Alistipes_shahii,0.03402617770105015,CatBoost
s__Escherichia_coli,0.034025810756870084,CatBoost
s__Alistipes_finegoldii,0.03401508982356712,CatBoost
s__Anaerostipes_hadrus,0.03381325589395712,CatBoost
s__Roseburia_inulinivorans,0.032572967849480126,CatBoost
s__Vescimonas_coprocola,0.03207174078045604,CatBoost
s__Oscillibacter_sp_ER4,0.029796637327053652,CatBoost
s__Coprococcus_catus,0.029679087055384,CatBoost
s__Oliverpabstia_intestinalis,0.029606969249121193,CatBoost
s__Paraprevotella_clara,0.02932804565181711,CatBoost
s__Sutterella_wadsworthensis,0.029005687585397157,CatBoost
s__Lentihominibacter_faecis,0.028879916113377785,CatBoost
s__Holdemania_filiformis,0.02879491324147863,CatBoost
s__GGB2653_SGB3574,0.028127847468814412,CatBoost
s__Bacteroides_caccae,0.028012929599756653,CatBoost
s__Streptococcus_australis,0.02781321386893668,CatBoost
s__Alistipes_putredinis,0.027541528616092284,CatBoost
s__Bacteroides_intestinalis,0.027479753470627706,CatBoost
s__Parabacteroides_merdae,0.027430225817030873,CatBoost
s__Colidextribacter_sp_210702_DFI_3_9,0.027405162717559967,CatBoost
s__Clostridiaceae_bacterium,0.027155718456433848,CatBoost
s__Clostridiales_bacterium,0.02683290979852806,CatBoost
s__Anaerotignum_sp_MSJ_24,0.02577832549596114,CatBoost
s__GGB33586_SGB53517,0.02538865201337458,CatBoost
s__Bilophila_wadsworthia,0.025041949593246165,CatBoost
s__Roseburia_sp_AF02_12,0.024672237940283167,CatBoost
s__Lacrimispora_amygdalina,0.024595128709459037,CatBoost
s__Lachnospira_sp_NSJ_43,0.023930900098543675,CatBoost
s__Brotolimicola_acetigignens,0.023929278935839345,CatBoost
s__Lachnospiraceae_bacterium,0.023873406608124297,CatBoost
s__Clostridium_innocuum,0.023723275324020847,CatBoost
s__Intestinimonas_butyriciproducens,0.023706110049256306,CatBoost
s__Alistipes_communis,0.023502050280212083,CatBoost
s__Dorea_sp_AF36_15AT,0.02333112140580884,CatBoost
s__Phascolarctobacterium_faecium,0.02329235685419555,CatBoost
s__Clostridium_symbiosum,0.022986009759536286,CatBoost
s__Parabacteroides_distasonis,0.022692777309692134,CatBoost
s__GGB9719_SGB15272,0.02258865860990476,CatBoost
s__Oscillospiraceae_bacterium_Marseille_Q3528,0.02198607213377032,CatBoost
s__Lachnospiraceae_bacterium_CLA_AA_H244,0.021906321601937857,CatBoost
s__Blautia_massiliensis,0.02190366436233507,CatBoost
s__Clostridia_bacterium_UC5_1_1D1,0.021287064920461358,CatBoost
s__Gemmiger_formicilis,0.021157648245959434,CatBoost
s__Clostridium_sp_AM33_3,0.021136010259140522,CatBoost
s__Enterocloster_bolteae,0.02072267274532632,CatBoost
s__GGB3109_SGB4121,0.020435885431242494,CatBoost
s__Gemmiger_SGB15295,0.020294627475419765,CatBoost
s__GGB3653_SGB4964,0.01988207221999228,CatBoost
s__Oscillospiraceae_bacterium_CLA_AA_H250,0.019858789678530647,CatBoost
s__Blautia_glucerasea,0.019498745361308325,CatBoost
s__GGB9760_SGB15373,0.019119390539852434,CatBoost
s__Ruminococcus_lactaris,0.01872077301395693,CatBoost
s__Flavonifractor_plautii,0.018695306274480746,CatBoost
s__Mediterraneibacter_faecis,0.018432545450187434,CatBoost
s__GGB9614_SGB15049,0.018120612743697896,CatBoost
s__GGB51441_SGB71759,0.017877921005626247,CatBoost
s__Enterocloster_citroniae,0.01730043212859088,CatBoost
s__Anaerobutyricum_soehngenii,0.01725265073620067,CatBoost
s__GGB52130_SGB14966,0.01722479229841607,CatBoost
s__Barnesiella_intestinihominis,0.016849256801351273,CatBoost
s__Alistipes_senegalensis,0.016764653118716555,CatBoost
s__Clostridiaceae_bacterium_Marseille_Q4149,0.016579585477030402,CatBoost
s__Lawsonibacter_SGB15145,0.016385002789484984,CatBoost
s__Ruminococcus_bicirculans,0.015936908361734274,CatBoost
s__Anaerotruncus_colihominis,0.01546559567615607,CatBoost
s__GGB9730_SGB15291,0.015195643167422028,CatBoost
s__Dysosmobacter_welbionis,0.01519563452490265,CatBoost
s__Bacteroides_cellulosilyticus,0.015092276798468746,CatBoost
s__Bifidobacterium_pseudocatenulatum,0.01476102255750762,CatBoost
s__Dorea_longicatena,0.014721536410386604,CatBoost
s__Agathobaculum_butyriciproducens,0.014511180740770221,CatBoost
s__Clostridium_sp_AF36_4,0.014469954904974002,CatBoost
s__Ruminococcus_gnavus,0.014349628147561968,CatBoost
s__Faecalicatena_fissicatena,0.01416535749258352,CatBoost
s__Eubacterium_siraeum,0.013842147815153565,CatBoost
s__Enterocloster_aldenensis,0.013123983155034562,CatBoost
s__Bacteroides_ovatus,0.013099913534428721,CatBoost
s__Oscillibacter_valericigenes,0.013066543073017762,CatBoost
s__bacterium_210917_DFI_7_65,0.01299139821557688,CatBoost
s__GGB9534_SGB14937,0.012977618901147916,CatBoost
s__Lachnospiraceae_bacterium_OM04_12BH,0.012751410209237467,CatBoost
s__Simiaoa_sunii,0.012376580002812217,CatBoost
s__Clostridiaceae_bacterium_Marseille_Q4143,0.012308815968485314,CatBoost
s__Clostridium_SGB4750,0.012161194715543935,CatBoost
s__Anaerotignum_faecicola,0.012005408430079113,CatBoost
s__Clostridiaceae_unclassified_SGB4771,0.011814893424751225,CatBoost
s__Clostridium_sp_AT4,0.011682655918650704,CatBoost
s__Clostridium_sp_AM22_11AC,0.011360726924405665,CatBoost
s__Oscillibacter_sp_MSJ_31,0.011000287529241252,CatBoost
s__Clostridium_leptum,0.010779098846669045,CatBoost
s__Bacteroides_uniformis,0.01071139181427105,CatBoost
s__Methanobrevibacter_smithii,0.010699758544761934,CatBoost
s__Phocaeicola_plebeius,0.010660342543752883,CatBoost
s__Roseburia_intestinalis,0.010478487388350794,CatBoost
s__Parabacteroides_goldsteinii,0.010226974184657935,CatBoost
s__Bacteroides_finegoldii,0.010026991369923395,CatBoost
s__Oscillospiraceae_bacterium,0.009957389674650118,CatBoost
s__Alistipes_ihumii,0.009911338540613117,CatBoost
s__Lawsonibacter_asaccharolyticus,0.009732112158034921,CatBoost
s__Odoribacter_splanchnicus,0.00968075538084388,CatBoost
s__Clostridium_sp_AM49_4BH,0.009671074045249712,CatBoost
s__Lachnospira_pectinoschiza,0.009605234064181505,CatBoost
s__Erysipelatoclostridium_ramosum,0.009330208035367635,CatBoost
s__Clostridiales_bacterium_KLE1615,0.00901507478112018,CatBoost
s__GGB9342_SGB14306,0.008812368991007596,CatBoost
s__Dialister_invisus,0.008294136784643389,CatBoost
s__Dorea_formicigenerans,0.008183879551444513,CatBoost
s__Wansuia_hejianensis,0.008175647930223469,CatBoost
s__Blautia_faecis,0.008134375312121649,CatBoost
s__Alistipes_indistinctus,0.00810352883186001,CatBoost
s__Eggerthella_lenta,0.007878526669642614,CatBoost
s__Faecalibacterium_SGB15346,0.0077745883380591465,CatBoost
s__Klebsiella_pneumoniae,0.0076450620698103235,CatBoost
s__Eubacterium_ramulus,0.0070464279995834725,CatBoost
s__Blautia_luti,0.007005816607765114,CatBoost
s__Coprococcus_eutactus,0.00676564892653913,CatBoost
s__Veillonella_dispar,0.006736887334209112,CatBoost
s__GGB3304_SGB4367,0.006453209162176137,CatBoost
s__Fusicatenibacter_sp_CLA_AA_H277,0.00597393172087738,CatBoost
s__Butyricimonas_virosa,0.005909632656384773,CatBoost
s__GGB9715_SGB15265,0.005767218957420035,CatBoost
s__GGB2982_SGB3964,0.005545248259868902,CatBoost
s__Bifidobacterium_longum,0.004981137679011948,CatBoost
s__GGB9715_SGB15260,0.004489334336214843,CatBoost
s__Clostridium_sp_AF27_2AA,0.004351504577456188,CatBoost
s__Blautia_stercoris,0.0021272866746590074,CatBoost
s__Faecalicatena_contorta,0.001188565428830909,CatBoost
s__GGB9707_SGB15229,0,CatBoost
s__GGB9602_SGB15031,0,CatBoost
s__GGB9502_SGB14899,0,CatBoost
s__GGB9712_SGB15244,0,CatBoost
s__GGB9345_SGB14311,0,CatBoost
s__Massilioclostridium_coli,0,CatBoost
