feature,mean_abs_shap,model
s__Clostridiaceae_bacterium_AF18_31LB,0.06529895101909369,XGBoost
s__Streptococcus_salivarius,0.06513292890514562,XGBoost
s__Segatella_copri,0.06478370395379279,XGBoost
s__GGB3619_SGB4894,0.06394795460662481,XGBoost
s__GGB9715_SGB15260,0.06249490482754534,XGBoost
s__Phocaeicola_massiliensis,0.06240244441245996,XGBoost
s__Clostridium_innocuum,0.06217128730832507,XGBoost
s__Holdemania_filiformis,0.06173765726984069,XGBoost
s__Bacteroides_fragilis,0.061583953424928596,XGBoost
s__Massilioclostridium_coli,0.06108848463773928,XGBoost
s__Phascolarctobacterium_faecium,0.06006226355913594,XGBoost
s__Faecalibacillus_intestinalis,0.05999595327725134,XGBoost
s__Lachnospira_sp_NSJ_43,0.05999359934492206,XGBoost
s__Coprococcus_catus,0.05960966089900931,XGBoost
s__Coprococcus_eutactus,0.059083278726031176,XGBoost
s__Phocaeicola_plebeius,0.05805397150051278,XGBoost
s__Alistipes_finegoldii,0.05804637120981386,XGBoost
s__Erysipelatoclostridium_ramosum,0.05796716886610426,XGBoost
s__Mediterraneibacter_butyricigenes,0.057802333888075146,XGBoost
s__Romboutsia_timonensis,0.057029620179340955,XGBoost
s__Klebsiella_pneumoniae,0.05679972970566024,XGBoost
s__Bilophila_wadsworthia,0.056760051580345035,XGBoost
s__Brotolimicola_acetigignens,0.05628370328867605,XGBoost
s__Clostridia_bacterium_UC5_1_1D1,0.05619420939688374,XGBoost
s__Guopingia_tenuis,0.05619261395026467,XGBoost
s__GGB9708_SGB15234,0.055808756162598255,XGBoost
s__Bacteroides_intestinalis,0.05497597410778586,XGBoost
s__GGB3109_SGB4121,0.05493115669963161,XGBoost
s__Roseburia_hominis,0.054337546460364775,XGBoost
s__GGB9699_SGB15216,0.053551233709610215,XGBoost
s__Escherichia_coli,0.053215912927094086,XGBoost
s__Intestinibacter_bartlettii,0.05198723686915664,XGBoost
s__Anaeromassilibacillus_senegalensis,0.05153718747419003,XGBoost
s__Faecalibacterium_prausnitzii,0.051529250070928664,XGBoost
s__Hungatella_hathewayi,0.0510973215845462,XGBoost
s__GGB9667_SGB15164,0.05099573577699649,XGBoost
s__Evtepia_gabavorous,0.0507068513866979,XGBoost
s__Blautia_massiliensis,0.049853931074365046,XGBoost
s__Clostridium_sp_AM33_3,0.04930500316535037,XGBoost
s__Clostridium_sp_AM49_4BH,0.0481706102765004,XGBoost
s__GGB9627_SGB15081,0.047931364267087766,XGBoost
s__Enterocloster_bolteae,0.0478281500488783,XGBoost
s__Phocaeicola_dorei,0.04771675962969926,XGBoost
s__Mediterraneibacter_faecis,0.0476276487755739,XGBoost
s__Ruminococcus_bromii,0.04741540414584936,XGBoost
s__GGB9747_SGB15356,0.047226772426171265,XGBoost
s__Colidextribacter_sp_210702_DFI_3_9,0.04679553819258837,XGBoost
s__Clostridiaceae_bacterium_Marseille_Q4149,0.04668624267821002,XGBoost
s__Intestinimonas_butyriciproducens,0.04643065927572946,XGBoost
s__Anaerostipes_hadrus,0.04605569283390242,XGBoost
s__Lawsonibacter_asaccharolyticus,0.04581554370123769,XGBoost
s__GGB9602_SGB15031,0.04472590529628181,XGBoost
s__GGB52130_SGB14966,0.044688153005873046,XGBoost
s__Clostridium_leptum,0.04452745893811844,XGBoost
s__Wansuia_hejianensis,0.043787771734209655,XGBoost
s__Ruminococcus_callidus,0.04371691646581868,XGBoost
s__Lentihominibacter_faecis,0.04348642788519296,XGBoost
s__Faecalibacterium_sp_CLA_AA_H233,0.0429396178112081,XGBoost
s__Ruminococcus_lactaris,0.04260081649216848,XGBoost
s__Bifidobacterium_adolescentis,0.04259957335574023,XGBoost
s__GGB3653_SGB4964,0.04256981945114879,XGBoost
s__Dorea_sp_AF36_15AT,0.04251691288202046,XGBoost
s__Clostridiales_bacterium,0.041739062652381254,XGBoost
s__Lachnospiraceae_bacterium_AM48_27BH,0.04146254642102246,XGBoost
s__Streptococcus_australis,0.041286806939362194,XGBoost
s__Oscillospiraceae_bacterium_Marseille_Q3528,0.04076480651113518,XGBoost
s__Eubacterium_siraeum,0.04070423601611422,XGBoost
s__Odoribacter_splanchnicus,0.04058613271331875,XGBoost
s__Eubacterium_ventriosum,0.040488012893849026,XGBoost
s__TM7_phylum_sp_oral_taxon_352,0.04018491487622612,XGBoost
s__GGB9730_SGB15291,0.0399799495523491,XGBoost
s__Collinsella_aerofaciens,0.039684248035791916,XGBoost
s__GGB9534_SGB14937,0.03873256618253595,XGBoost
s__Alistipes_putredinis,0.038720920286556465,XGBoost
s__Wujia_chipingensis,0.03853296933479389,XGBoost
s__Clostridiaceae_unclassified_SGB4771,0.03768376869893669,XGBoost
s__Bacteroides_xylanisolvens,0.03762735003530942,XGBoost
s__GGB9707_SGB15229,0.037603589997918,XGBoost
s__Clostridiaceae_bacterium,0.03747422128610822,XGBoost
s__Parabacteroides_merdae,0.03739145453195387,XGBoost
s__Oscillibacter_valericigenes,0.036803746163635305,XGBoost
s__Eggerthella_lenta,0.03656509639728707,XGBoost
s__Oscillibacter_sp_ER4,0.036200280793857446,XGBoost
s__GGB9502_SGB14899,0.036051513909663754,XGBoost
s__Anaerotignum_sp_MSJ_24,0.03601941541527867,XGBoost
s__Eisenbergiella_tayi,0.035864547477478435,XGBoost
s__Methanobrevibacter_smithii,0.03511951200981428,XGBoost
s__Roseburia_inulinivorans,0.03508556498879614,XGBoost
s__Clostridium_sp_AM22_11AC,0.03449987705415767,XGBoost
s__Alistipes_senegalensis,0.034133836502835684,XGBoost
s__Anaerotignum_faecicola,0.033797727764175244,XGBoost
s__Lachnospiraceae_bacterium,0.03373719930953751,XGBoost
s__bacterium_210917_DFI_7_65,0.03366185210597624,XGBoost
s__Bacteroides_ovatus,0.03349433906835804,XGBoost
s__Bacteroides_finegoldii,0.03259456636935394,XGBoost
s__Anaerobutyricum_soehngenii,0.03208207050358469,XGBoost
s__Paraprevotella_clara,0.03206830208461821,XGBoost
s__Faecalicatena_fissicatena,0.03158144190685288,XGBoost
s__Bacteroides_uniformis,0.031511228573022736,XGBoost
s__Lachnospira_pectinoschiza,0.03145627955374731,XGBoost
s__GGB9760_SGB15373,0.031217263159705685,XGBoost
s__Dialister_invisus,0.031099478521467595,XGBoost
s__Ruminococcus_bicirculans,0.030743434327163446,XGBoost
s__Dysosmobacter_welbionis,0.030701174446637433,XGBoost
s__Alistipes_communis,0.030637494874095755,XGBoost
s__Lachnospiraceae_bacterium_CLA_AA_H244,0.029836287204514342,XGBoost
s__Fusicatenibacter_sp_CLA_AA_H277,0.029552030235452335,XGBoost
s__Clostridiaceae_bacterium_Marseille_Q4143,0.029517855948910415,XGBoost
s__Alistipes_shahii,0.02944875641423724,XGBoost
s__Faecalicatena_contorta,0.029444038670504852,XGBoost
s__Gemmiger_formicilis,0.029072615957419116,XGBoost
s__Streptococcus_thermophilus,0.028899718862277414,XGBoost
s__GGB33586_SGB53517,0.028824022039461984,XGBoost
s__Agathobaculum_butyriciproducens,0.028620042200449634,XGBoost
s__Anaerotruncus_rubiinfantis,0.028122226510202027,XGBoost
s__Simiaoa_sunii,0.027840538919541354,XGBoost
s__GGB9342_SGB14306,0.0277726443944332,XGBoost
s__Dorea_formicigenerans,0.027258691371957234,XGBoost
s__Bacteroides_cellulosilyticus,0.0272235294974947,XGBoost
s__Parabacteroides_goldsteinii,0.027061068706451693,XGBoost
s__Bifidobacterium_pseudocatenulatum,0.02692520476379957,XGBoost
s__Oscillibacter_sp_MSJ_31,0.026824356625169958,XGBoost
s__Oscillospiraceae_bacterium,0.026669387612692667,XGBoost
s__GGB2982_SGB3964,0.026614184207395097,XGBoost
s__Flavonifractor_plautii,0.02638643314123823,XGBoost
s__Roseburia_sp_AF02_12,0.02628818166874247,XGBoost
s__Lacrimispora_amygdalina,0.02617150045287803,XGBoost
s__Fusicatenibacter_saccharivorans,0.02612725881092335,XGBoost
s__Lachnospiraceae_bacterium_OM04_12BH,0.025794217468104157,XGBoost
s__Dorea_longicatena,0.025717767547140384,XGBoost
s__Sutterella_wadsworthensis,0.02569610181521512,XGBoost
s__Barnesiella_intestinihominis,0.025299112349338206,XGBoost
s__Blautia_faecis,0.025138838640428866,XGBoost
s__GGB9345_SGB14311,0.024383352719152086,XGBoost
s__Clostridiaceae_bacterium_Marseille_Q4145,0.023563683035885647,XGBoost
s__Clostridium_sp_AF36_4,0.023546560114090894,XGBoost
s__GGB9614_SGB15049,0.023455746375638405,XGBoost
s__Clostridium_SGB4750,0.02330713078296411,XGBoost
s__Alistipes_onderdonkii,0.023071285538486218,XGBoost
s__Veillonella_dispar,0.022445019232758705,XGBoost
s__Clostridium_symbiosum,0.02241220962085407,XGBoost
s__GGB2653_SGB3574,0.022111850463313817,XGBoost
s__Blautia_SGB4815,0.022057325161660233,XGBoost
s__Alistipes_ihumii,0.021406853286542914,XGBoost
s__Parasutterella_excrementihominis,0.02125466291124374,XGBoost
s__GGB2998_SGB3988,0.021006938112185944,XGBoost
s__Enterocloster_citroniae,0.02026789550419276,XGBoost
s__Lawsonibacter_SGB15145,0.02002078207540324,XGBoost
s__Faecalibacterium_SGB15346,0.019842783798371684,XGBoost
s__Adlercreutzia_equolifaciens,0.019716737517743627,XGBoost
s__Veillonella_atypica,0.019378926594083495,XGBoost
s__Alistipes_indistinctus,0.01934833311062751,XGBoost
s__Ruminococcus_gnavus,0.019230308023605525,XGBoost
s__Anaerotruncus_colihominis,0.018571493507444248,XGBoost
s__Blautia_sp_OF03_15BH,0.018397494056193887,XGBoost
s__Clostridiales_bacterium_KLE1615,0.018177062916052318,XGBoost
s__Blautia_glucerasea,0.01782473818536461,XGBoost
s__Eubacterium_ramulus,0.01776318075693748,XGBoost
s__GGB9760_SGB15374,0.01718024716381452,XGBoost
s__Enterocloster_aldenensis,0.017053892885824557,XGBoost
s__Bacteroides_eggerthii,0.016823085062426694,XGBoost
s__Clostridium_scindens,0.016583167229644546,XGBoost
s__GGB9712_SGB15244,0.016353026634141784,XGBoost
s__Butyricimonas_virosa,0.015059591303470258,XGBoost
s__GGB9635_SGB15106,0.014232912023479857,XGBoost
s__GGB51441_SGB71759,0.013648590150883797,XGBoost
s__Blautia_stercoris,0.013164721965742865,XGBoost
s__Clostridium_sp_AF27_2AA,0.011556640801859032,XGBoost
s__Mediterraneibacter_glycyrrhizinilyticus,0.011349283038347435,XGBoost
s__GGB33469_SGB15236,0.009692464352310642,XGBoost
